row;col;r;c;value;status
"Alt Camp";Valor;1;1;1106,41;
"Alt Camp";"Variació (%)";1;2;-4,16;
"Alt Empordà";Valor;2;1;2076,36;
"Alt Empordà";"Variació (%)";2;2;0,69;
"Alt Penedès";Valor;3;1;1403,42;
"Alt Penedès";"Variació (%)";3;2;6,01;
"Alt Urgell";Valor;4;1;1108,12;
"Alt Urgell";"Variació (%)";4;2;11,18;
"Alta Ribagorça";Valor;5;1;1312,28;
"Alta Ribagorça";"Variació (%)";5;2;33,56;
Anoia;Valor;6;1;1298,73;
Anoia;"Variació (%)";6;2;15,65;
Aran;Valor;7;1;2707,62;
Aran;"Variació (%)";7;2;5,91;
Bages;Valor;8;1;1298,15;
Bages;"Variació (%)";8;2;6,05;
"Baix Camp";Valor;9;1;1492,36;
"Baix Camp";"Variació (%)";9;2;2,26;
"Baix Ebre";Valor;10;1;1124,11;
"Baix Ebre";"Variació (%)";10;2;7,65;
"Baix Empordà";Valor;11;1;2281,48;
"Baix Empordà";"Variació (%)";11;2;8,41;
"Baix Llobregat";Valor;12;1;2539,03;
"Baix Llobregat";"Variació (%)";12;2;2,15;
"Baix Penedès";Valor;13;1;1531,19;
"Baix Penedès";"Variació (%)";13;2;8,29;
Barcelonès;Valor;14;1;3506,84;
Barcelonès;"Variació (%)";14;2;-0,06;
Berguedà;Valor;15;1;1109,84;
Berguedà;"Variació (%)";15;2;0,43;
Cerdanya;Valor;16;1;2833,94;
Cerdanya;"Variació (%)";16;2;-1,33;
"Conca de Barberà";Valor;17;1;786,57;
"Conca de Barberà";"Variació (%)";17;2;1,31;
Garraf;Valor;18;1;2700,41;
Garraf;"Variació (%)";18;2;3,81;
Garrigues;Valor;19;1;626,39;
Garrigues;"Variació (%)";19;2;24,99;
Garrotxa;Valor;20;1;1388,4;
Garrotxa;"Variació (%)";20;2;14,38;
Gironès;Valor;21;1;1776,35;
Gironès;"Variació (%)";21;2;7,29;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;2382,89;
Maresme;"Variació (%)";23;2;1,98;
Moianès;Valor;24;1;1277,92;
Moianès;"Variació (%)";24;2;-8,7;
Montsià;Valor;25;1;837,22;
Montsià;"Variació (%)";25;2;0,04;
Noguera;Valor;26;1;614,63;
Noguera;"Variació (%)";26;2;-10,38;
Osona;Valor;27;1;1368,89;
Osona;"Variació (%)";27;2;1,14;
"Pallars Jussà";Valor;28;1;759,24;
"Pallars Jussà";"Variació (%)";28;2;5,99;
"Pallars Sobirà";Valor;29;1;1376,63;
"Pallars Sobirà";"Variació (%)";29;2;18,78;
"Pla de l'Estany";Valor;30;1;1531,27;
"Pla de l'Estany";"Variació (%)";30;2;57,86;
"Pla d'Urgell";Valor;31;1;798,36;
"Pla d'Urgell";"Variació (%)";31;2;19,57;
Priorat;Valor;32;1;840,53;
Priorat;"Variació (%)";32;2;-9,81;
"Ribera d'Ebre";Valor;33;1;718,55;
"Ribera d'Ebre";"Variació (%)";33;2;15,7;
Ripollès;Valor;34;1;1544,07;
Ripollès;"Variació (%)";34;2;25,21;
Segarra;Valor;35;1;919,26;
Segarra;"Variació (%)";35;2;7,97;
Segrià;Valor;36;1;1024,29;
Segrià;"Variació (%)";36;2;2,74;
Selva;Valor;37;1;1745,7;
Selva;"Variació (%)";37;2;9,42;
Solsonès;Valor;38;1;1009,99;
Solsonès;"Variació (%)";38;2;-4,59;
Tarragonès;Valor;39;1;1636,26;
Tarragonès;"Variació (%)";39;2;2,28;
"Terra Alta";Valor;40;1;886,7;
"Terra Alta";"Variació (%)";40;2;24,62;
Urgell;Valor;41;1;758,21;
Urgell;"Variació (%)";41;2;-11,55;
"Vallès Occidental";Valor;42;1;2251,76;
"Vallès Occidental";"Variació (%)";42;2;2,05;
"Vallès Oriental";Valor;43;1;1867,63;
"Vallès Oriental";"Variació (%)";43;2;5,98;
Catalunya;Valor;44;1;2226,34;
Catalunya;"Variació (%)";44;2;2,53;
Metropolità;Valor;45;1;2749,79;
Metropolità;"Variació (%)";45;2;1,66;
"Comarques Gironines";Valor;46;1;1980,12;
"Comarques Gironines";"Variació (%)";46;2;7,95;
"Camp de Tarragona";Valor;47;1;1548,5;
"Camp de Tarragona";"Variació (%)";47;2;23,16;
"Terres de l'Ebre";Valor;48;1;965,71;
"Terres de l'Ebre";"Variació (%)";48;2;5,88;
Ponent;Valor;49;1;910,68;
Ponent;"Variació (%)";49;2;2,2;
"Comarques Centrals";Valor;50;1;1286,06;
"Comarques Centrals";"Variació (%)";50;2;2,28;
"Alt Pirineu i Aran";Valor;51;1;2098,77;
"Alt Pirineu i Aran";"Variació (%)";51;2;11,55;
Penedès;Valor;52;1;1891,14;
Penedès;"Variació (%)";52;2;6,99;
Barcelona;Valor;53;1;2568,65;
Barcelona;"Variació (%)";53;2;1,89;
Girona;Valor;54;1;2016,33;
Girona;"Variació (%)";54;2;7,99;
Lleida;Valor;55;1;1138,11;
Lleida;"Variació (%)";55;2;3,97;
Tarragona;Valor;56;1;1443,89;
Tarragona;"Variació (%)";56;2;4,07;
