row;col;r;c;value;status
"Alt Camp";Valor;1;1;1007,26;
"Alt Camp";"Variació (%)";1;2;-0,53;
"Alt Empordà";Valor;2;1;1824,14;
"Alt Empordà";"Variació (%)";2;2;-3,84;
"Alt Penedès";Valor;3;1;978,81;
"Alt Penedès";"Variació (%)";3;2;-15,22;
"Alt Urgell";Valor;4;1;958,64;
"Alt Urgell";"Variació (%)";4;2;1,69;
"Alta Ribagorça";Valor;5;1;1138,18;
"Alta Ribagorça";"Variació (%)";5;2;21,25;
Anoia;Valor;6;1;952,83;
Anoia;"Variació (%)";6;2;-12,08;
Aran;Valor;7;1;1913,13;
Aran;"Variació (%)";7;2;2,02;
Bages;Valor;8;1;980,02;
Bages;"Variació (%)";8;2;-8,64;
"Baix Camp";Valor;9;1;1355,31;
"Baix Camp";"Variació (%)";9;2;-6,12;
"Baix Ebre";Valor;10;1;1118,57;
"Baix Ebre";"Variació (%)";10;2;2,21;
"Baix Empordà";Valor;11;1;1833,86;
"Baix Empordà";"Variació (%)";11;2;2,04;
"Baix Llobregat";Valor;12;1;1737,63;
"Baix Llobregat";"Variació (%)";12;2;-9,27;
"Baix Penedès";Valor;13;1;1154,07;
"Baix Penedès";"Variació (%)";13;2;-8,6;
Barcelonès;Valor;14;1;2447,24;
Barcelonès;"Variació (%)";14;2;1,79;
Berguedà;Valor;15;1;869,48;
Berguedà;"Variació (%)";15;2;-22,62;
Cerdanya;Valor;16;1;1995,72;
Cerdanya;"Variació (%)";16;2;-0,51;
"Conca de Barberà";Valor;17;1;767,41;
"Conca de Barberà";"Variació (%)";17;2;11,65;
Garraf;Valor;18;1;2167,44;
Garraf;"Variació (%)";18;2;-5,37;
Garrigues;Valor;19;1;433,25;
Garrigues;"Variació (%)";19;2;-5,43;
Garrotxa;Valor;20;1;1142,49;
Garrotxa;"Variació (%)";20;2;-6,38;
Gironès;Valor;21;1;1183,81;
Gironès;"Variació (%)";21;2;-1,05;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;1562,12;
Maresme;"Variació (%)";23;2;-1,3;
Moianès;Valor;24;1;0;
Moianès;"Variació (%)";24;2;;..
Montsià;Valor;25;1;786,3;
Montsià;"Variació (%)";25;2;-8,95;
Noguera;Valor;26;1;852;
Noguera;"Variació (%)";26;2;3,75;
Osona;Valor;27;1;1023,33;
Osona;"Variació (%)";27;2;16,07;
"Pallars Jussà";Valor;28;1;801,11;
"Pallars Jussà";"Variació (%)";28;2;-5,1;
"Pallars Sobirà";Valor;29;1;922;
"Pallars Sobirà";"Variació (%)";29;2;-24,92;
"Pla de l'Estany";Valor;30;1;1099,04;
"Pla de l'Estany";"Variació (%)";30;2;-6,11;
"Pla d'Urgell";Valor;31;1;620,66;
"Pla d'Urgell";"Variació (%)";31;2;-18,19;
Priorat;Valor;32;1;1265,38;
Priorat;"Variació (%)";32;2;11,01;
"Ribera d'Ebre";Valor;33;1;601,79;
"Ribera d'Ebre";"Variació (%)";33;2;-3,45;
Ripollès;Valor;34;1;1705,84;
Ripollès;"Variació (%)";34;2;25,19;
Segarra;Valor;35;1;905,63;
Segarra;"Variació (%)";35;2;-2,35;
Segrià;Valor;36;1;880,48;
Segrià;"Variació (%)";36;2;-4,64;
Selva;Valor;37;1;1667,86;
Selva;"Variació (%)";37;2;-12,96;
Solsonès;Valor;38;1;1092,92;
Solsonès;"Variació (%)";38;2;-7,53;
Tarragonès;Valor;39;1;1413,35;
Tarragonès;"Variació (%)";39;2;5,64;
"Terra Alta";Valor;40;1;722,02;
"Terra Alta";"Variació (%)";40;2;-4,49;
Urgell;Valor;41;1;656,44;
Urgell;"Variació (%)";41;2;-13,58;
"Vallès Occidental";Valor;42;1;1367,55;
"Vallès Occidental";"Variació (%)";42;2;-5,76;
"Vallès Oriental";Valor;43;1;1362,6;
"Vallès Oriental";"Variació (%)";43;2;-1,5;
Catalunya;Valor;44;1;1757,16;
Catalunya;"Variació (%)";44;2;-0,74;
Metropolità;Valor;45;1;1986,29;
Metropolità;"Variació (%)";45;2;-0,31;
"Comarques Gironines";Valor;46;1;1711,27;
"Comarques Gironines";"Variació (%)";46;2;-5,77;
"Camp de Tarragona";Valor;47;1;1368,59;
"Camp de Tarragona";"Variació (%)";47;2;-0,83;
"Terres de l'Ebre";Valor;48;1;934,34;
"Terres de l'Ebre";"Variació (%)";48;2;-2,51;
Ponent;Valor;49;1;813,36;
Ponent;"Variació (%)";49;2;-5,93;
"Comarques Centrals";Valor;50;1;977,47;
"Comarques Centrals";"Variació (%)";50;2;-2,8;
"Alt Pirineu i Aran";Valor;51;1;1553,43;
"Alt Pirineu i Aran";"Variació (%)";51;2;9,26;
Penedès;Valor;52;1;1509,02;
Penedès;"Variació (%)";52;2;-3,74;
Barcelona;Valor;53;1;1915,06;
Barcelona;"Variació (%)";53;2;-0,3;
Girona;Valor;54;1;1721,35;
Girona;"Variació (%)";54;2;-5,46;
Lleida;Valor;55;1;958,08;
Lleida;"Variació (%)";55;2;-0,52;
Tarragona;Valor;56;1;1253,27;
Tarragona;"Variació (%)";56;2;-0,24;
