row;col;r;c;value;status
"Alt Camp";Valor;1;1;1045,53;
"Alt Camp";"Variació (%)";1;2;-1,2;
"Alt Empordà";Valor;2;1;1862,31;
"Alt Empordà";"Variació (%)";2;2;-0,74;
"Alt Penedès";Valor;3;1;1206,97;
"Alt Penedès";"Variació (%)";3;2;1,59;
"Alt Urgell";Valor;4;1;997,67;
"Alt Urgell";"Variació (%)";4;2;25,59;
"Alta Ribagorça";Valor;5;1;1124,58;
"Alta Ribagorça";"Variació (%)";5;2;-0,31;
Anoia;Valor;6;1;1011,7;
Anoia;"Variació (%)";6;2;4,15;
Aran;Valor;7;1;2346,75;
Aran;"Variació (%)";7;2;-6,08;
Bages;Valor;8;1;1114,35;
Bages;"Variació (%)";8;2;2,13;
"Baix Camp";Valor;9;1;1442,22;
"Baix Camp";"Variació (%)";9;2;8,49;
"Baix Ebre";Valor;10;1;1169,04;
"Baix Ebre";"Variació (%)";10;2;10,11;
"Baix Empordà";Valor;11;1;1976,43;
"Baix Empordà";"Variació (%)";11;2;-0,22;
"Baix Llobregat";Valor;12;1;2270,83;
"Baix Llobregat";"Variació (%)";12;2;5,95;
"Baix Penedès";Valor;13;1;1284,94;
"Baix Penedès";"Variació (%)";13;2;0,6;
Barcelonès;Valor;14;1;3321,78;
Barcelonès;"Variació (%)";14;2;4,29;
Berguedà;Valor;15;1;906,76;
Berguedà;"Variació (%)";15;2;-2,18;
Cerdanya;Valor;16;1;2503,11;
Cerdanya;"Variació (%)";16;2;7,77;
"Conca de Barberà";Valor;17;1;712,92;
"Conca de Barberà";"Variació (%)";17;2;-4,17;
Garraf;Valor;18;1;2425,24;
Garraf;"Variació (%)";18;2;2,54;
Garrigues;Valor;19;1;515,13;
Garrigues;"Variació (%)";19;2;-7,45;
Garrotxa;Valor;20;1;1143,23;
Garrotxa;"Variació (%)";20;2;4,44;
Gironès;Valor;21;1;1580,7;
Gironès;"Variació (%)";21;2;7,97;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;1986,37;
Maresme;"Variació (%)";23;2;6,89;
Moianès;Valor;24;1;1187,44;
Moianès;"Variació (%)";24;2;-11,66;
Montsià;Valor;25;1;771,42;
Montsià;"Variació (%)";25;2;-0,66;
Noguera;Valor;26;1;665,22;
Noguera;"Variació (%)";26;2;4,05;
Osona;Valor;27;1;1245,3;
Osona;"Variació (%)";27;2;2,32;
"Pallars Jussà";Valor;28;1;700,61;
"Pallars Jussà";"Variació (%)";28;2;-7,96;
"Pallars Sobirà";Valor;29;1;1196,83;
"Pallars Sobirà";"Variació (%)";29;2;13,19;
"Pla de l'Estany";Valor;30;1;1351,28;
"Pla de l'Estany";"Variació (%)";30;2;8,57;
"Pla d'Urgell";Valor;31;1;679,3;
"Pla d'Urgell";"Variació (%)";31;2;11,37;
Priorat;Valor;32;1;1074,89;
Priorat;"Variació (%)";32;2;27,46;
"Ribera d'Ebre";Valor;33;1;667,9;
"Ribera d'Ebre";"Variació (%)";33;2;14,73;
Ripollès;Valor;34;1;1430,55;
Ripollès;"Variació (%)";34;2;-6,08;
Segarra;Valor;35;1;711,91;
Segarra;"Variació (%)";35;2;-12,98;
Segrià;Valor;36;1;838,31;
Segrià;"Variació (%)";36;2;-4,75;
Selva;Valor;37;1;1618,79;
Selva;"Variació (%)";37;2;10,06;
Solsonès;Valor;38;1;1091,04;
Solsonès;"Variació (%)";38;2;19,05;
Tarragonès;Valor;39;1;1462,74;
Tarragonès;"Variació (%)";39;2;4,31;
"Terra Alta";Valor;40;1;774,8;
"Terra Alta";"Variació (%)";40;2;3,7;
Urgell;Valor;41;1;723,91;
Urgell;"Variació (%)";41;2;5,83;
"Vallès Occidental";Valor;42;1;1938,97;
"Vallès Occidental";"Variació (%)";42;2;15,32;
"Vallès Oriental";Valor;43;1;1602,52;
"Vallès Oriental";"Variació (%)";43;2;9,29;
Catalunya;Valor;44;1;2067,49;
Catalunya;"Variació (%)";44;2;3,26;
Metropolità;Valor;45;1;2494,35;
Metropolità;"Variació (%)";45;2;4,74;
"Comarques Gironines";Valor;46;1;1768,84;
"Comarques Gironines";"Variació (%)";46;2;3,04;
"Camp de Tarragona";Valor;47;1;1433,93;
"Camp de Tarragona";"Variació (%)";47;2;5,84;
"Terres de l'Ebre";Valor;48;1;956,14;
"Terres de l'Ebre";"Variació (%)";48;2;4,74;
Ponent;Valor;49;1;771,21;
Ponent;"Variació (%)";49;2;-2,95;
"Comarques Centrals";Valor;50;1;1146,58;
"Comarques Centrals";"Variació (%)";50;2;1,79;
"Alt Pirineu i Aran";Valor;51;1;1874,32;
"Alt Pirineu i Aran";"Variació (%)";51;2;-2,36;
Penedès;Valor;52;1;1703,95;
Penedès;"Variació (%)";52;2;6;
Barcelona;Valor;53;1;2351,85;
Barcelona;"Variació (%)";53;2;4,11;
Girona;Valor;54;1;1794,83;
Girona;"Variació (%)";54;2;3,1;
Lleida;Valor;55;1;1017,34;
Lleida;"Variació (%)";55;2;-2,17;
Tarragona;Valor;56;1;1322,55;
Tarragona;"Variació (%)";56;2;4,28;
