ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;1;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;62189;129673;1461,91;18605;13267;939,91;4416;5995;841,53;
2007;1;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;16164;147749;1694,89;5242;11840;955,78;1188;4774;749,12;
2007;1;Provincia;10;Comunitat Valenciana;46;Valencia / València;53613;149540;1479,18;19834;15402;1201,47;4066;4457;837,54;
2007;1;Comunidad;11;Extremadura;98;EXTREMADURA;16112;88365;852,58;3298;11463;721,71;984;4608;703,82;
2007;1;Provincia;11;Extremadura;6;Badajoz;10366;89081;860,73;2127;11845;739,21;677;4374;702,41;
2007;1;Provincia;11;Extremadura;10;Cáceres;5746;87093;838,07;1171;10723;687,78;307;5067;706,57;
2007;1;Comunidad;12;Galicia;98;GALICIA;36745;113824;1332,40;16167;13402;1057,43;5477;4441;827,56;
2007;1;Provincia;12;Galicia;15;A Coruña;16041;110501;1291,18;6035;13878;1143,75;2224;3904;801,33;
2007;1;Provincia;12;Galicia;27;Lugo;4622;92453;1060,76;2227;11728;930,28;505;4879;848,66;
2007;1;Provincia;12;Galicia;32;Ourense;4054;86592;893,63;2482;10821;752,65;642;3651;678,40;
2007;1;Provincia;12;Galicia;36;Pontevedra;12028;131848;1586,78;5423;14919;1172,44;2106;5218;904,24;
2007;1;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;96179;266876;2950,96;45560;22601;1540,74;5112;7905;1340,66;
2007;1;Provincia;13;Comunidad de Madrid;28;Madrid;96179;266876;2950,96;45560;22601;1540,74;5112;7905;1340,66;
2007;1;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;33675;122390;1274,01;9683;13624;854,78;1788;4038;737,18;
2007;1;Provincia;14;Región de Murcia;30;Murcia;33675;122390;1274,01;9683;13624;854,78;1788;4038;737,18;
2007;1;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;10629;187112;1972,44;3394;17603;1146,04;1361;8847;1197,55;
2007;1;Provincia;15;C. Foral de Navarra;31;Navarra;10629;187112;1972,44;3394;17603;1146,04;1361;8847;1197,55;
2007;1;Comunidad;16;País Vasco;98;PAÍS VASCO;29673;253544;3098,94;17941;25295;1622,71;4966;11256;1476,23;
2007;1;Provincia;16;País Vasco;1;Araba / Álava;4376;242272;2556,45;2494;21056;1466,67;302;10859;1420,18;
2007;1;Provincia;16;País Vasco;20;Gipuzkoa;9487;262966;3304,41;5270;24588;1388,59;1051;12571;1366,46;
2007;1;Provincia;16;País Vasco;48;Bizkaia;15810;250370;3088,91;10177;26456;1790,66;3613;10879;1513,61;
2007;1;Comunidad;17;La Rioja;98;LA RIOJA;7389;148895;1641,62;2822;14163;1035,45;450;5653;860,03;
2007;1;Provincia;17;La Rioja;26;La Rioja;7389;148895;1641,62;2822;14163;1035,45;450;5653;860,03;
2007;1;Comunidad;18;Ceuta;98;CEUTA;576;137125;1549,21;352;13587;916,70;49;3907;721,03;
2007;1;Provincia;18;Ceuta;51;Ceuta;576;137125;1549,21;352;13587;916,70;49;3907;721,03;
2007;1;Comunidad;19;Melilla;98;MELILLA;660;114276;1204,20;260;13718;755,48;30;5842;1428,55;
2007;1;Provincia;19;Melilla;52;Melilla;660;114276;1204,20;260;13718;755,48;30;5842;1428,55;
2007;2;Nacional;99;ESPAÑA;99;ESPAÑA;866404;177251;1979,42;341657;17203;1184,80;66575;6134;1004,52;
2007;2;Comunidad;1;Andalucía;98;ANDALUCÍA;175344;143292;1486,13;59595;16394;935,43;10774;6140;923,92;
2007;2;Provincia;1;Andalucía;4;Almería;21446;128439;1475,86;6803;14927;909,63;1037;4349;729,58;
2007;2;Provincia;1;Andalucía;11;Cádiz;26182;146218;1476,17;6905;15927;933,21;1063;5871;942,35;
2007;2;Provincia;1;Andalucía;14;Córdoba;11860;123205;1228,48;5008;15200;804,45;482;6515;837,10;
2007;2;Provincia;1;Andalucía;18;Granada;17259;127461;1307,36;7236;14552;794,91;1197;4999;731,94;
