row;col;r;c;value;status
"Alt Camp";Valor;1;1;1077,21;
"Alt Camp";"Variació (%)";1;2;3,03;
"Alt Empordà";Valor;2;1;1923,79;
"Alt Empordà";"Variació (%)";2;2;3,3;
"Alt Penedès";Valor;3;1;1312,48;
"Alt Penedès";"Variació (%)";3;2;8,74;
"Alt Urgell";Valor;4;1;955,98;
"Alt Urgell";"Variació (%)";4;2;-4,18;
"Alta Ribagorça";Valor;5;1;1451,41;
"Alta Ribagorça";"Variació (%)";5;2;29,06;
Anoia;Valor;6;1;1106,69;
Anoia;"Variació (%)";6;2;9,39;
Aran;Valor;7;1;2469,7;
Aran;"Variació (%)";7;2;5,24;
Bages;Valor;8;1;1180,56;
Bages;"Variació (%)";8;2;5,94;
"Baix Camp";Valor;9;1;1425,36;
"Baix Camp";"Variació (%)";9;2;-1,17;
"Baix Ebre";Valor;10;1;1105,61;
"Baix Ebre";"Variació (%)";10;2;-5,43;
"Baix Empordà";Valor;11;1;2116,35;
"Baix Empordà";"Variació (%)";11;2;7,08;
"Baix Llobregat";Valor;12;1;2442,5;
"Baix Llobregat";"Variació (%)";12;2;7,56;
"Baix Penedès";Valor;13;1;1403,52;
"Baix Penedès";"Variació (%)";13;2;9,23;
Barcelonès;Valor;14;1;3472,39;
Barcelonès;"Variació (%)";14;2;4,53;
Berguedà;Valor;15;1;936,13;
Berguedà;"Variació (%)";15;2;3,24;
Cerdanya;Valor;16;1;2590,11;
Cerdanya;"Variació (%)";16;2;3,48;
"Conca de Barberà";Valor;17;1;851,71;
"Conca de Barberà";"Variació (%)";17;2;19,47;
Garraf;Valor;18;1;2613,99;
Garraf;"Variació (%)";18;2;7,78;
Garrigues;Valor;19;1;625,97;
Garrigues;"Variació (%)";19;2;21,52;
Garrotxa;Valor;20;1;1252,67;
Garrotxa;"Variació (%)";20;2;9,57;
Gironès;Valor;21;1;1589,63;
Gironès;"Variació (%)";21;2;0,56;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;2224,6;
Maresme;"Variació (%)";23;2;11,99;
Moianès;Valor;24;1;1342,09;
Moianès;"Variació (%)";24;2;13,02;
Montsià;Valor;25;1;816,9;
Montsià;"Variació (%)";25;2;5,9;
Noguera;Valor;26;1;647;
Noguera;"Variació (%)";26;2;-2,74;
Osona;Valor;27;1;1263,93;
Osona;"Variació (%)";27;2;1,5;
"Pallars Jussà";Valor;28;1;678,49;
"Pallars Jussà";"Variació (%)";28;2;-3,16;
"Pallars Sobirà";Valor;29;1;1298,09;
"Pallars Sobirà";"Variació (%)";29;2;8,46;
"Pla de l'Estany";Valor;30;1;1415,11;
"Pla de l'Estany";"Variació (%)";30;2;4,72;
"Pla d'Urgell";Valor;31;1;713,48;
"Pla d'Urgell";"Variació (%)";31;2;5,03;
Priorat;Valor;32;1;1029,55;
Priorat;"Variació (%)";32;2;-4,22;
"Ribera d'Ebre";Valor;33;1;580,65;
"Ribera d'Ebre";"Variació (%)";33;2;-13,06;
Ripollès;Valor;34;1;1589,55;
Ripollès;"Variació (%)";34;2;11,11;
Segarra;Valor;35;1;780,11;
Segarra;"Variació (%)";35;2;9,58;
Segrià;Valor;36;1;969,86;
Segrià;"Variació (%)";36;2;15,69;
Selva;Valor;37;1;1615,74;
Selva;"Variació (%)";37;2;-0,19;
Solsonès;Valor;38;1;938,46;
Solsonès;"Variació (%)";38;2;-13,98;
Tarragonès;Valor;39;1;1552,85;
Tarragonès;"Variació (%)";39;2;6,16;
"Terra Alta";Valor;40;1;875,63;
"Terra Alta";"Variació (%)";40;2;13,01;
Urgell;Valor;41;1;774,84;
Urgell;"Variació (%)";41;2;7,04;
"Vallès Occidental";Valor;42;1;2115,9;
"Vallès Occidental";"Variació (%)";42;2;9,12;
"Vallès Oriental";Valor;43;1;1708,43;
"Vallès Oriental";"Variació (%)";43;2;6,61;
Catalunya;Valor;44;1;2171,74;
Catalunya;"Variació (%)";44;2;5,04;
Metropolità;Valor;45;1;2649,89;
Metropolità;"Variació (%)";45;2;6,24;
"Comarques Gironines";Valor;46;1;1828,67;
"Comarques Gironines";"Variació (%)";46;2;3,38;
"Camp de Tarragona";Valor;47;1;1478,87;
"Camp de Tarragona";"Variació (%)";47;2;3,13;
"Terres de l'Ebre";Valor;48;1;940,96;
"Terres de l'Ebre";"Variació (%)";48;2;-1,59;
Ponent;Valor;49;1;874,6;
Ponent;"Variació (%)";49;2;13,41;
"Comarques Centrals";Valor;50;1;1187,38;
"Comarques Centrals";"Variació (%)";50;2;3,56;
"Alt Pirineu i Aran";Valor;51;1;1970,15;
"Alt Pirineu i Aran";"Variació (%)";51;2;5,11;
Penedès;Valor;52;1;1813,33;
Penedès;"Variació (%)";52;2;6,42;
Barcelona;Valor;53;1;2487,66;
Barcelona;"Variació (%)";53;2;5,77;
Girona;Valor;54;1;1856,02;
Girona;"Variació (%)";54;2;3,41;
Lleida;Valor;55;1;1113,8;
Lleida;"Variació (%)";55;2;9,48;
Tarragona;Valor;56;1;1377,44;
Tarragona;"Variació (%)";56;2;4,15;
