row;col;r;c;value;status
"Alt Camp";Valor;1;1;978,76;
"Alt Camp";"Variació (%)";1;2;-2,83;
"Alt Empordà";Valor;2;1;1837,3;
"Alt Empordà";"Variació (%)";2;2;0,72;
"Alt Penedès";Valor;3;1;1023,7;
"Alt Penedès";"Variació (%)";3;2;4,59;
"Alt Urgell";Valor;4;1;917,43;
"Alt Urgell";"Variació (%)";4;2;-4,3;
"Alta Ribagorça";Valor;5;1;920,6;
"Alta Ribagorça";"Variació (%)";5;2;-19,12;
Anoia;Valor;6;1;911,13;
Anoia;"Variació (%)";6;2;-4,38;
Aran;Valor;7;1;1828,05;
Aran;"Variació (%)";7;2;-4,45;
Bages;Valor;8;1;979,01;
Bages;"Variació (%)";8;2;-0,1;
"Baix Camp";Valor;9;1;1353,83;
"Baix Camp";"Variació (%)";9;2;-0,11;
"Baix Ebre";Valor;10;1;1035,03;
"Baix Ebre";"Variació (%)";10;2;-7,47;
"Baix Empordà";Valor;11;1;1852,06;
"Baix Empordà";"Variació (%)";11;2;0,99;
"Baix Llobregat";Valor;12;1;1830,02;
"Baix Llobregat";"Variació (%)";12;2;5,32;
"Baix Penedès";Valor;13;1;1185,93;
"Baix Penedès";"Variació (%)";13;2;2,76;
Barcelonès;Valor;14;1;2605,35;
Barcelonès;"Variació (%)";14;2;6,46;
Berguedà;Valor;15;1;870,12;
Berguedà;"Variació (%)";15;2;0,07;
Cerdanya;Valor;16;1;2059,72;
Cerdanya;"Variació (%)";16;2;3,21;
"Conca de Barberà";Valor;17;1;734,45;
"Conca de Barberà";"Variació (%)";17;2;-4,29;
Garraf;Valor;18;1;2279,5;
Garraf;"Variació (%)";18;2;5,17;
Garrigues;Valor;19;1;535,49;
Garrigues;"Variació (%)";19;2;23,6;
Garrotxa;Valor;20;1;1011,11;
Garrotxa;"Variació (%)";20;2;-11,5;
Gironès;Valor;21;1;1264,34;
Gironès;"Variació (%)";21;2;6,8;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;1586,67;
Maresme;"Variació (%)";23;2;1,57;
Moianès;Valor;24;1;1568,75;
Moianès;"Variació (%)";24;2;;..
Montsià;Valor;25;1;786,52;
Montsià;"Variació (%)";25;2;0,03;
Noguera;Valor;26;1;713,47;
Noguera;"Variació (%)";26;2;-16,26;
Osona;Valor;27;1;1142,24;
Osona;"Variació (%)";27;2;11,62;
"Pallars Jussà";Valor;28;1;814,27;
"Pallars Jussà";"Variació (%)";28;2;1,64;
"Pallars Sobirà";Valor;29;1;1032,33;
"Pallars Sobirà";"Variació (%)";29;2;11,97;
"Pla de l'Estany";Valor;30;1;1077,49;
"Pla de l'Estany";"Variació (%)";30;2;-1,96;
"Pla d'Urgell";Valor;31;1;645,77;
"Pla d'Urgell";"Variació (%)";31;2;4,05;
Priorat;Valor;32;1;948,82;
Priorat;"Variació (%)";32;2;-25,02;
"Ribera d'Ebre";Valor;33;1;611,31;
"Ribera d'Ebre";"Variació (%)";33;2;1,58;
Ripollès;Valor;34;1;1351,03;
Ripollès;"Variació (%)";34;2;-20,8;
Segarra;Valor;35;1;773,89;
Segarra;"Variació (%)";35;2;-14,55;
Segrià;Valor;36;1;942,53;
Segrià;"Variació (%)";36;2;7,05;
Selva;Valor;37;1;1698,99;
Selva;"Variació (%)";37;2;1,87;
Solsonès;Valor;38;1;1028,94;
Solsonès;"Variació (%)";38;2;-5,85;
Tarragonès;Valor;39;1;1361,17;
Tarragonès;"Variació (%)";39;2;-3,69;
"Terra Alta";Valor;40;1;803,78;
"Terra Alta";"Variació (%)";40;2;11,32;
Urgell;Valor;41;1;771,03;
Urgell;"Variació (%)";41;2;17,46;
"Vallès Occidental";Valor;42;1;1449,84;
"Vallès Occidental";"Variació (%)";42;2;6,02;
"Vallès Oriental";Valor;43;1;1307,54;
"Vallès Oriental";"Variació (%)";43;2;-4,04;
Catalunya;Valor;44;1;1785,68;
Catalunya;"Variació (%)";44;2;1,62;
Metropolità;Valor;45;1;2046,42;
Metropolità;"Variació (%)";45;2;3,03;
"Comarques Gironines";Valor;46;1;1705,17;
"Comarques Gironines";"Variació (%)";46;2;-0,36;
"Camp de Tarragona";Valor;47;1;1344,78;
"Camp de Tarragona";"Variació (%)";47;2;-1,74;
"Terres de l'Ebre";Valor;48;1;884,19;
"Terres de l'Ebre";"Variació (%)";48;2;-5,37;
Ponent;Valor;49;1;841,8;
Ponent;"Variació (%)";49;2;3,5;
"Comarques Centrals";Valor;50;1;1048,98;
"Comarques Centrals";"Variació (%)";50;2;7,32;
"Alt Pirineu i Aran";Valor;51;1;1567,13;
"Alt Pirineu i Aran";"Variació (%)";51;2;0,88;
Penedès;Valor;52;1;1510,1;
Penedès;"Variació (%)";52;2;0,07;
Barcelona;Valor;53;1;1963,25;
Barcelona;"Variació (%)";53;2;2,52;
Girona;Valor;54;1;1718,1;
Girona;"Variació (%)";54;2;-0,19;
Lleida;Valor;55;1;991,52;
Lleida;"Variació (%)";55;2;3,49;
Tarragona;Valor;56;1;1242,1;
Tarragona;"Variació (%)";56;2;-0,89;
