provincia,precio_mercado_m2,precio_hpo_m2,brecha_m2,brecha_60m2
Barcelona,8715.89,5145.27,3570.62,214237
Girona,4241.11,4078.44,162.67,9760
Lleida,2885.04,2307.8,577.25,34635
Tarragona,3353.41,2918.63,434.78,26087
