row;col;r;c;value;status
"Alt Camp";Valor;1;1;1161,58;
"Alt Camp";"Variació (%)";1;2;-4,18;
"Alt Empordà";Valor;2;1;2411,98;
"Alt Empordà";"Variació (%)";2;2;1,34;
"Alt Penedès";Valor;3;1;1545,33;
"Alt Penedès";"Variació (%)";3;2;2,55;
"Alt Urgell";Valor;4;1;1210,82;
"Alt Urgell";"Variació (%)";4;2;6,86;
"Alta Ribagorça";Valor;5;1;1420,27;
"Alta Ribagorça";"Variació (%)";5;2;8,17;
Anoia;Valor;6;1;1334,73;
Anoia;"Variació (%)";6;2;0,56;
Aran;Valor;7;1;3172,64;
Aran;"Variació (%)";7;2;-0,08;
Bages;Valor;8;1;1248,05;
Bages;"Variació (%)";8;2;-4,37;
"Baix Camp";Valor;9;1;1621,22;
"Baix Camp";"Variació (%)";9;2;0,58;
"Baix Ebre";Valor;10;1;1235,03;
"Baix Ebre";"Variació (%)";10;2;5,64;
"Baix Empordà";Valor;11;1;2584,82;
"Baix Empordà";"Variació (%)";11;2;3,18;
"Baix Llobregat";Valor;12;1;2764,01;
"Baix Llobregat";"Variació (%)";12;2;1,77;
"Baix Penedès";Valor;13;1;1714,68;
"Baix Penedès";"Variació (%)";13;2;3,13;
Barcelonès;Valor;14;1;3641,82;
Barcelonès;"Variació (%)";14;2;0,56;
Berguedà;Valor;15;1;1045,45;
Berguedà;"Variació (%)";15;2;-6,4;
Cerdanya;Valor;16;1;3194,69;
Cerdanya;"Variació (%)";16;2;1,08;
"Conca de Barberà";Valor;17;1;928,49;
"Conca de Barberà";"Variació (%)";17;2;-1,04;
Garraf;Valor;18;1;2980,89;
Garraf;"Variació (%)";18;2;4,85;
Garrigues;Valor;19;1;617,15;
Garrigues;"Variació (%)";19;2;-3,41;
Garrotxa;Valor;20;1;1537,08;
Garrotxa;"Variació (%)";20;2;8,33;
Gironès;Valor;21;1;1860,68;
Gironès;"Variació (%)";21;2;0,46;
Lluçanès;Valor;22;1;819,95;
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;2363,58;
Maresme;"Variació (%)";23;2;-2,94;
Moianès;Valor;24;1;1395,4;
Moianès;"Variació (%)";24;2;-6,42;
Montsià;Valor;25;1;932,94;
Montsià;"Variació (%)";25;2;-0,65;
Noguera;Valor;26;1;1091,66;
Noguera;"Variació (%)";26;2;19,64;
Osona;Valor;27;1;1543,59;
Osona;"Variació (%)";27;2;-1,4;
"Pallars Jussà";Valor;28;1;858,57;
"Pallars Jussà";"Variació (%)";28;2;6,99;
"Pallars Sobirà";Valor;29;1;1657,99;
"Pallars Sobirà";"Variació (%)";29;2;8,91;
"Pla de l'Estany";Valor;30;1;1863,22;
"Pla de l'Estany";"Variació (%)";30;2;16,88;
"Pla d'Urgell";Valor;31;1;845,85;
"Pla d'Urgell";"Variació (%)";31;2;-5,43;
Priorat;Valor;32;1;881,74;
Priorat;"Variació (%)";32;2;-21,44;
"Ribera d'Ebre";Valor;33;1;804,41;
"Ribera d'Ebre";"Variació (%)";33;2;3,64;
Ripollès;Valor;34;1;1624,52;
Ripollès;"Variació (%)";34;2;2,07;
Segarra;Valor;35;1;846,96;
Segarra;"Variació (%)";35;2;-2,92;
Segrià;Valor;36;1;1103,87;
Segrià;"Variació (%)";36;2;-1,67;
Selva;Valor;37;1;1885,86;
Selva;"Variació (%)";37;2;3,97;
Solsonès;Valor;38;1;1236,63;
Solsonès;"Variació (%)";38;2;5,82;
Tarragonès;Valor;39;1;1763,73;
Tarragonès;"Variació (%)";39;2;1,98;
"Terra Alta";Valor;40;1;1004,16;
"Terra Alta";"Variació (%)";40;2;-22,09;
Urgell;Valor;41;1;820,97;
Urgell;"Variació (%)";41;2;-13,84;
"Vallès Occidental";Valor;42;1;2292,07;
"Vallès Occidental";"Variació (%)";42;2;-0,39;
"Vallès Oriental";Valor;43;1;1976,39;
"Vallès Oriental";"Variació (%)";43;2;1,34;
Catalunya;Valor;44;1;2406,11;
Catalunya;"Variació (%)";44;2;1,23;
Metropolità;Valor;45;1;2942,18;
Metropolità;"Variació (%)";45;2;1,57;
"Comarques Gironines";Valor;46;1;2205,67;
"Comarques Gironines";"Variació (%)";46;2;2,68;
"Camp de Tarragona";Valor;47;1;1665,74;
"Camp de Tarragona";"Variació (%)";47;2;0,76;
"Terres de l'Ebre";Valor;48;1;1055,16;
"Terres de l'Ebre";"Variació (%)";48;2;0,91;
Ponent;Valor;49;1;1011,99;
Ponent;"Variació (%)";49;2;-0,02;
"Comarques Centrals";Valor;50;1;1325,96;
"Comarques Centrals";"Variació (%)";50;2;-4,14;
"Alt Pirineu i Aran";Valor;51;1;2375,63;
"Alt Pirineu i Aran";"Variació (%)";51;2;3,05;
Penedès;Valor;52;1;2020,01;
Penedès;"Variació (%)";52;2;2,78;
Barcelona;Valor;53;1;2759,69;
Barcelona;"Variació (%)";53;2;1,75;
Girona;Valor;54;1;2241,42;
Girona;"Variació (%)";54;2;2,48;
Lleida;Valor;55;1;1324,32;
Lleida;"Variació (%)";55;2;-1,36;
Tarragona;Valor;56;1;1555,38;
Tarragona;"Variació (%)";56;2;0,65;
