row;col;r;c;value;status
"Alt Camp";Valor;1;1;1058,25;
"Alt Camp";"Variació (%)";1;2;-1,93;
"Alt Empordà";Valor;2;1;1876,15;
"Alt Empordà";"Variació (%)";2;2;5,1;
"Alt Penedès";Valor;3;1;1188,03;
"Alt Penedès";"Variació (%)";3;2;12,88;
"Alt Urgell";Valor;4;1;794,38;
"Alt Urgell";"Variació (%)";4;2;-16,45;
"Alta Ribagorça";Valor;5;1;1128,11;
"Alta Ribagorça";"Variació (%)";5;2;3,23;
Anoia;Valor;6;1;971,42;
Anoia;"Variació (%)";6;2;2,18;
Aran;Valor;7;1;2498,79;
Aran;"Variació (%)";7;2;23,84;
Bages;Valor;8;1;1091,16;
Bages;"Variació (%)";8;2;5,5;
"Baix Camp";Valor;9;1;1329,36;
"Baix Camp";"Variació (%)";9;2;1,27;
"Baix Ebre";Valor;10;1;1061,74;
"Baix Ebre";"Variació (%)";10;2;2;
"Baix Empordà";Valor;11;1;1980,75;
"Baix Empordà";"Variació (%)";11;2;10,02;
"Baix Llobregat";Valor;12;1;2143,31;
"Baix Llobregat";"Variació (%)";12;2;9,03;
"Baix Penedès";Valor;13;1;1277,22;
"Baix Penedès";"Variació (%)";13;2;4,14;
Barcelonès;Valor;14;1;3185,27;
Barcelonès;"Variació (%)";14;2;15,57;
Berguedà;Valor;15;1;926,95;
Berguedà;"Variació (%)";15;2;7,33;
Cerdanya;Valor;16;1;2322,55;
Cerdanya;"Variació (%)";16;2;-3,01;
"Conca de Barberà";Valor;17;1;743,97;
"Conca de Barberà";"Variació (%)";17;2;21,49;
Garraf;Valor;18;1;2365,14;
Garraf;"Variació (%)";18;2;6,49;
Garrigues;Valor;19;1;556,61;
Garrigues;"Variació (%)";19;2;7,55;
Garrotxa;Valor;20;1;1094,58;
Garrotxa;"Variació (%)";20;2;3,79;
Gironès;Valor;21;1;1464,08;
Gironès;"Variació (%)";21;2;7,02;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;1858,29;
Maresme;"Variació (%)";23;2;9,18;
Moianès;Valor;24;1;1344,18;
Moianès;"Variació (%)";24;2;20,26;
Montsià;Valor;25;1;776,55;
Montsià;"Variació (%)";25;2;-4,79;
Noguera;Valor;26;1;639,31;
Noguera;"Variació (%)";26;2;-6,87;
Osona;Valor;27;1;1217,08;
Osona;"Variació (%)";27;2;3,91;
"Pallars Jussà";Valor;28;1;761,2;
"Pallars Jussà";"Variació (%)";28;2;0,85;
"Pallars Sobirà";Valor;29;1;1057,32;
"Pallars Sobirà";"Variació (%)";29;2;-3,87;
"Pla de l'Estany";Valor;30;1;1244,59;
"Pla de l'Estany";"Variació (%)";30;2;9,54;
"Pla d'Urgell";Valor;31;1;609,93;
"Pla d'Urgell";"Variació (%)";31;2;-4,84;
Priorat;Valor;32;1;843,3;
Priorat;"Variació (%)";32;2;7,73;
"Ribera d'Ebre";Valor;33;1;582,15;
"Ribera d'Ebre";"Variació (%)";33;2;-21,87;
Ripollès;Valor;34;1;1523,14;
Ripollès;"Variació (%)";34;2;-6,89;
Segarra;Valor;35;1;818,07;
Segarra;"Variació (%)";35;2;3,36;
Segrià;Valor;36;1;880,13;
Segrià;"Variació (%)";36;2;0,73;
Selva;Valor;37;1;1470,77;
Selva;"Variació (%)";37;2;-9,29;
Solsonès;Valor;38;1;916,43;
Solsonès;"Variació (%)";38;2;-21,27;
Tarragonès;Valor;39;1;1402,31;
Tarragonès;"Variació (%)";39;2;3,35;
"Terra Alta";Valor;40;1;747,16;
"Terra Alta";"Variació (%)";40;2;-7,77;
Urgell;Valor;41;1;684,05;
Urgell;"Variació (%)";41;2;-8,37;
"Vallès Occidental";Valor;42;1;1681,43;
"Vallès Occidental";"Variació (%)";42;2;7,54;
"Vallès Oriental";Valor;43;1;1466,32;
"Vallès Oriental";"Variació (%)";43;2;6,79;
Catalunya;Valor;44;1;2002,18;
Catalunya;"Variació (%)";44;2;8,89;
Metropolità;Valor;45;1;2381,36;
Metropolità;"Variació (%)";45;2;11,59;
"Comarques Gironines";Valor;46;1;1716,63;
"Comarques Gironines";"Variació (%)";46;2;3,23;
"Camp de Tarragona";Valor;47;1;1354,81;
"Camp de Tarragona";"Variació (%)";47;2;1,89;
"Terres de l'Ebre";Valor;48;1;912,91;
"Terres de l'Ebre";"Variació (%)";48;2;-0,98;
Ponent;Valor;49;1;794,66;
Ponent;"Variació (%)";49;2;0,38;
"Comarques Centrals";Valor;50;1;1126,47;
"Comarques Centrals";"Variació (%)";50;2;4,8;
"Alt Pirineu i Aran";Valor;51;1;1919,56;
"Alt Pirineu i Aran";"Variació (%)";51;2;10,8;
Penedès;Valor;52;1;1607,51;
Penedès;"Variació (%)";52;2;8,95;
Barcelona;Valor;53;1;2259,09;
Barcelona;"Variació (%)";53;2;10,95;
Girona;Valor;54;1;1740,83;
Girona;"Variació (%)";54;2;3,01;
Lleida;Valor;55;1;1039,93;
Lleida;"Variació (%)";55;2;3,74;
Tarragona;Valor;56;1;1268,28;
Tarragona;"Variació (%)";56;2;1,99;
