Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Total Nacional;Todas las edades;Ambos sexos;2024;29.540,26
Total Nacional;Todas las edades;Ambos sexos;2023;28.049,94
Total Nacional;Todas las edades;Ambos sexos;2022;26.948,87
Total Nacional;Todas las edades;Ambos sexos;2021;25.896,82
Total Nacional;Todas las edades;Ambos sexos;2020;25.165,51
Total Nacional;Todas las edades;Ambos sexos;2019;24.395,98
Total Nacional;Todas las edades;Ambos sexos;2018;24.009,12
Total Nacional;Todas las edades;Ambos sexos;2017;23.646,50
Total Nacional;Todas las edades;Ambos sexos;2016;23.156,34
Total Nacional;Todas las edades;Ambos sexos;2015;23.106,30
Total Nacional;Todas las edades;Ambos sexos;2014;22.858,17
Total Nacional;Todas las edades;Ambos sexos;2013;22.697,86
Total Nacional;Todas las edades;Ambos sexos;2012;22.726,44
Total Nacional;Todas las edades;Ambos sexos;2011;22.899,35
Total Nacional;Todas las edades;Ambos sexos;2010;22.790,20
Total Nacional;Todas las edades;Ambos sexos;2009;22.511,47
Total Nacional;Todas las edades;Ambos sexos;2008;21.883,42
Total Nacional;Todas las edades;Mujeres;2024;26.904,90
Total Nacional;Todas las edades;Mujeres;2023;25.591,31
Total Nacional;Todas las edades;Mujeres;2022;24.359,82
Total Nacional;Todas las edades;Mujeres;2021;23.175,95
Total Nacional;Todas las edades;Mujeres;2020;22.467,48
Total Nacional;Todas las edades;Mujeres;2019;21.682,02
Total Nacional;Todas las edades;Mujeres;2018;21.011,89
Total Nacional;Todas las edades;Mujeres;2017;20.607,85
Total Nacional;Todas las edades;Mujeres;2016;20.131,41
Total Nacional;Todas las edades;Mujeres;2015;20.051,58
Total Nacional;Todas las edades;Mujeres;2014;19.744,82
Total Nacional;Todas las edades;Mujeres;2013;19.514,58
Total Nacional;Todas las edades;Mujeres;2012;19.537,33
Total Nacional;Todas las edades;Mujeres;2011;19.767,59
Total Nacional;Todas las edades;Mujeres;2010;19.735,22
Total Nacional;Todas las edades;Mujeres;2009;19.502,02
Total Nacional;Todas las edades;Mujeres;2008;18.910,62
Total Nacional;Todas las edades;Hombres;2024;32.057,55
Total Nacional;Todas las edades;Hombres;2023;30.372,49
Total Nacional;Todas las edades;Hombres;2022;29.381,84
Total Nacional;Todas las edades;Hombres;2021;28.388,69
Total Nacional;Todas las edades;Hombres;2020;27.642,52
Total Nacional;Todas las edades;Hombres;2019;26.934,38
Total Nacional;Todas las edades;Hombres;2018;26.738,19
Total Nacional;Todas las edades;Hombres;2017;26.391,84
Total Nacional;Todas las edades;Hombres;2016;25.924,43
Total Nacional;Todas las edades;Hombres;2015;25.992,76
Total Nacional;Todas las edades;Hombres;2014;25.727,24
Total Nacional;Todas las edades;Hombres;2013;25.675,17
Total Nacional;Todas las edades;Hombres;2012;25.682,05
Total Nacional;Todas las edades;Hombres;2011;25.667,89
Total Nacional;Todas las edades;Hombres;2010;25.479,74
Total Nacional;Todas las edades;Hombres;2009;25.001,05
Total Nacional;Todas las edades;Hombres;2008;24.203,33
Total Nacional;Menos de 25 años;Ambos sexos;2024;15.135,59
Total Nacional;Menos de 25 años;Ambos sexos;2023;14.944,35
Total Nacional;Menos de 25 años;Ambos sexos;2022;14.700,90
Total Nacional;Menos de 25 años;Ambos sexos;2021;12.930,13
Total Nacional;Menos de 25 años;Ambos sexos;2020;12.693,72
Total Nacional;Menos de 25 años;Ambos sexos;2019;12.270,40
Total Nacional;Menos de 25 años;Ambos sexos;2018;12.417,98
Total Nacional;Menos de 25 años;Ambos sexos;2017;11.472,81
Total Nacional;Menos de 25 años;Ambos sexos;2016;11.046,39
Total Nacional;Menos de 25 años;Ambos sexos;2015;11.039,53
Total Nacional;Menos de 25 años;Ambos sexos;2014;11.560,18
Total Nacional;Menos de 25 años;Ambos sexos;2013;10.506,14
Total Nacional;Menos de 25 años;Ambos sexos;2012;11.077,39
Total Nacional;Menos de 25 años;Ambos sexos;2011;11.954,86
Total Nacional;Menos de 25 años;Ambos sexos;2010;13.154,92
Total Nacional;Menos de 25 años;Ambos sexos;2009;12.565,99
Total Nacional;Menos de 25 años;Ambos sexos;2008;12.953,62
Total Nacional;Menos de 25 años;Mujeres;2024;13.574,60
Total Nacional;Menos de 25 años;Mujeres;2023;13.409,09
Total Nacional;Menos de 25 años;Mujeres;2022;13.212,09
Total Nacional;Menos de 25 años;Mujeres;2021;11.498,86
Total Nacional;Menos de 25 años;Mujeres;2020;11.333,14
Total Nacional;Menos de 25 años;Mujeres;2019;11.103,13
Total Nacional;Menos de 25 años;Mujeres;2018;10.735,83
Total Nacional;Menos de 25 años;Mujeres;2017;9.933,23
Total Nacional;Menos de 25 años;Mujeres;2016;9.488,25
Total Nacional;Menos de 25 años;Mujeres;2015;9.534,67
Total Nacional;Menos de 25 años;Mujeres;2014;10.316,86
Total Nacional;Menos de 25 años;Mujeres;2013;9.272,53
Total Nacional;Menos de 25 años;Mujeres;2012;9.920,38
Total Nacional;Menos de 25 años;Mujeres;2011;10.723,02
Total Nacional;Menos de 25 años;Mujeres;2010;11.715,82
Total Nacional;Menos de 25 años;Mujeres;2009;11.258,44
Total Nacional;Menos de 25 años;Mujeres;2008;11.370,81
Total Nacional;Menos de 25 años;Hombres;2024;16.491,62
Total Nacional;Menos de 25 años;Hombres;2023;16.191,49
Total Nacional;Menos de 25 años;Hombres;2022;15.970,98
Total Nacional;Menos de 25 años;Hombres;2021;14.056,13
Total Nacional;Menos de 25 años;Hombres;2020;13.783,60
Total Nacional;Menos de 25 años;Hombres;2019;13.227,44
Total Nacional;Menos de 25 años;Hombres;2018;13.723,63
Total Nacional;Menos de 25 años;Hombres;2017;12.788,50
Total Nacional;Menos de 25 años;Hombres;2016;12.358,60
Total Nacional;Menos de 25 años;Hombres;2015;12.454,32
Total Nacional;Menos de 25 años;Hombres;2014;12.820,34
Total Nacional;Menos de 25 años;Hombres;2013;11.657,67
Total Nacional;Menos de 25 años;Hombres;2012;12.171,86
Total Nacional;Menos de 25 años;Hombres;2011;13.134,45
Total Nacional;Menos de 25 años;Hombres;2010;14.596,44
Total Nacional;Menos de 25 años;Hombres;2009;13.681,87
Total Nacional;Menos de 25 años;Hombres;2008;14.279,19
Total Nacional;De 25 a 34 años;Ambos sexos;2024;25.103,30
Total Nacional;De 25 a 34 años;Ambos sexos;2023;23.376,19
Total Nacional;De 25 a 34 años;Ambos sexos;2022;22.484,94
Total Nacional;De 25 a 34 años;Ambos sexos;2021;20.848,08
Total Nacional;De 25 a 34 años;Ambos sexos;2020;20.090,90
Total Nacional;De 25 a 34 años;Ambos sexos;2019;19.563,03
Total Nacional;De 25 a 34 años;Ambos sexos;2018;19.350,14
Total Nacional;De 25 a 34 años;Ambos sexos;2017;18.505,53
Total Nacional;De 25 a 34 años;Ambos sexos;2016;17.978,45
Total Nacional;De 25 a 34 años;Ambos sexos;2015;18.251,51
Total Nacional;De 25 a 34 años;Ambos sexos;2014;18.680,42
Total Nacional;De 25 a 34 años;Ambos sexos;2013;17.973,39
Total Nacional;De 25 a 34 años;Ambos sexos;2012;18.689,58
Total Nacional;De 25 a 34 años;Ambos sexos;2011;19.269,23
Total Nacional;De 25 a 34 años;Ambos sexos;2010;19.772,21
Total Nacional;De 25 a 34 años;Ambos sexos;2009;19.476,35
Total Nacional;De 25 a 34 años;Ambos sexos;2008;19.206,37
Total Nacional;De 25 a 34 años;Mujeres;2024;23.659,59
Total Nacional;De 25 a 34 años;Mujeres;2023;22.123,74
Total Nacional;De 25 a 34 años;Mujeres;2022;21.020,74
Total Nacional;De 25 a 34 años;Mujeres;2021;19.066,90
Total Nacional;De 25 a 34 años;Mujeres;2020;18.402,04
Total Nacional;De 25 a 34 años;Mujeres;2019;17.997,58
Total Nacional;De 25 a 34 años;Mujeres;2018;17.549,39
Total Nacional;De 25 a 34 años;Mujeres;2017;16.810,12
Total Nacional;De 25 a 34 años;Mujeres;2016;16.372,85
Total Nacional;De 25 a 34 años;Mujeres;2015;16.591,95
Total Nacional;De 25 a 34 años;Mujeres;2014;17.071,04
Total Nacional;De 25 a 34 años;Mujeres;2013;16.263,92
Total Nacional;De 25 a 34 años;Mujeres;2012;16.836,97
Total Nacional;De 25 a 34 años;Mujeres;2011;17.399,38
Total Nacional;De 25 a 34 años;Mujeres;2010;17.975,69
Total Nacional;De 25 a 34 años;Mujeres;2009;17.688,08
Total Nacional;De 25 a 34 años;Mujeres;2008;17.359,07
Total Nacional;De 25 a 34 años;Hombres;2024;26.417,92
Total Nacional;De 25 a 34 años;Hombres;2023;24.523,07
Total Nacional;De 25 a 34 años;Hombres;2022;23.787,43
Total Nacional;De 25 a 34 años;Hombres;2021;22.431,07
Total Nacional;De 25 a 34 años;Hombres;2020;21.627,57
Total Nacional;De 25 a 34 años;Hombres;2019;21.026,90
Total Nacional;De 25 a 34 años;Hombres;2018;21.101,42
Total Nacional;De 25 a 34 años;Hombres;2017;20.057,08
Total Nacional;De 25 a 34 años;Hombres;2016;19.501,28
Total Nacional;De 25 a 34 años;Hombres;2015;19.910,23
Total Nacional;De 25 a 34 años;Hombres;2014;20.278,69
Total Nacional;De 25 a 34 años;Hombres;2013;19.766,54
Total Nacional;De 25 a 34 años;Hombres;2012;20.708,77
Total Nacional;De 25 a 34 años;Hombres;2011;21.189,68
Total Nacional;De 25 a 34 años;Hombres;2010;21.542,06
Total Nacional;De 25 a 34 años;Hombres;2009;21.167,86
Total Nacional;De 25 a 34 años;Hombres;2008;20.889,15
Total Nacional;De 35 a 44 años;Ambos sexos;2024;29.533,45
Total Nacional;De 35 a 44 años;Ambos sexos;2023;27.880,75
Total Nacional;De 35 a 44 años;Ambos sexos;2022;26.840,57
Total Nacional;De 35 a 44 años;Ambos sexos;2021;25.615,45
Total Nacional;De 35 a 44 años;Ambos sexos;2020;25.039,08
Total Nacional;De 35 a 44 años;Ambos sexos;2019;24.631,46
Total Nacional;De 35 a 44 años;Ambos sexos;2018;24.380,69
Total Nacional;De 35 a 44 años;Ambos sexos;2017;23.690,34
Total Nacional;De 35 a 44 años;Ambos sexos;2016;23.299,99
Total Nacional;De 35 a 44 años;Ambos sexos;2015;23.335,61
Total Nacional;De 35 a 44 años;Ambos sexos;2014;23.503,84
Total Nacional;De 35 a 44 años;Ambos sexos;2013;23.232,40
Total Nacional;De 35 a 44 años;Ambos sexos;2012;23.519,76
Total Nacional;De 35 a 44 años;Ambos sexos;2011;23.830,08
Total Nacional;De 35 a 44 años;Ambos sexos;2010;23.732,38
Total Nacional;De 35 a 44 años;Ambos sexos;2009;23.299,64
Total Nacional;De 35 a 44 años;Ambos sexos;2008;22.977
Total Nacional;De 35 a 44 años;Mujeres;2024;26.850,89
Total Nacional;De 35 a 44 años;Mujeres;2023;25.446
Total Nacional;De 35 a 44 años;Mujeres;2022;24.080,08
Total Nacional;De 35 a 44 años;Mujeres;2021;23.035
Total Nacional;De 35 a 44 años;Mujeres;2020;22.384,42
Total Nacional;De 35 a 44 años;Mujeres;2019;21.860,02
Total Nacional;De 35 a 44 años;Mujeres;2018;21.537,52
Total Nacional;De 35 a 44 años;Mujeres;2017;20.934,30
Total Nacional;De 35 a 44 años;Mujeres;2016;20.577,07
Total Nacional;De 35 a 44 años;Mujeres;2015;20.593,48
Total Nacional;De 35 a 44 años;Mujeres;2014;20.625,07
Total Nacional;De 35 a 44 años;Mujeres;2013;20.171,73
Total Nacional;De 35 a 44 años;Mujeres;2012;20.462,51
Total Nacional;De 35 a 44 años;Mujeres;2011;20.796,81
Total Nacional;De 35 a 44 años;Mujeres;2010;20.828,12
Total Nacional;De 35 a 44 años;Mujeres;2009;20.246
Total Nacional;De 35 a 44 años;Mujeres;2008;19.878,11
Total Nacional;De 35 a 44 años;Hombres;2024;32.135,09
Total Nacional;De 35 a 44 años;Hombres;2023;30.183,61
Total Nacional;De 35 a 44 años;Hombres;2022;29.519,78
Total Nacional;De 35 a 44 años;Hombres;2021;27.956,40
Total Nacional;De 35 a 44 años;Hombres;2020;27.496,33
Total Nacional;De 35 a 44 años;Hombres;2019;27.263,73
Total Nacional;De 35 a 44 años;Hombres;2018;27.001,31
Total Nacional;De 35 a 44 años;Hombres;2017;26.224,32
Total Nacional;De 35 a 44 años;Hombres;2016;25.808,90
Total Nacional;De 35 a 44 años;Hombres;2015;25.930,81
Total Nacional;De 35 a 44 años;Hombres;2014;26.205,34
Total Nacional;De 35 a 44 años;Hombres;2013;26.079,85
Total Nacional;De 35 a 44 años;Hombres;2012;26.309,61
Total Nacional;De 35 a 44 años;Hombres;2011;26.483,36
Total Nacional;De 35 a 44 años;Hombres;2010;26.278
Total Nacional;De 35 a 44 años;Hombres;2009;25.917,59
Total Nacional;De 35 a 44 años;Hombres;2008;25.461,35
Total Nacional;De 45 a 54 años;Ambos sexos;2024;32.200,51
Total Nacional;De 45 a 54 años;Ambos sexos;2023;30.692,82
Total Nacional;De 45 a 54 años;Ambos sexos;2022;29.334,60
Total Nacional;De 45 a 54 años;Ambos sexos;2021;28.219,62
Total Nacional;De 45 a 54 años;Ambos sexos;2020;27.499,90
Total Nacional;De 45 a 54 años;Ambos sexos;2019;26.885,80
Total Nacional;De 45 a 54 años;Ambos sexos;2018;26.416,99
Total Nacional;De 45 a 54 años;Ambos sexos;2017;25.949,73
Total Nacional;De 45 a 54 años;Ambos sexos;2016;25.499,02
Total Nacional;De 45 a 54 años;Ambos sexos;2015;25.474,81
Total Nacional;De 45 a 54 años;Ambos sexos;2014;25.420,53
Total Nacional;De 45 a 54 años;Ambos sexos;2013;25.229,32
Total Nacional;De 45 a 54 años;Ambos sexos;2012;25.258,59
Total Nacional;De 45 a 54 años;Ambos sexos;2011;25.834,68
Total Nacional;De 45 a 54 años;Ambos sexos;2010;25.818,68
Total Nacional;De 45 a 54 años;Ambos sexos;2009;25.447,11
Total Nacional;De 45 a 54 años;Ambos sexos;2008;25.016,17
Total Nacional;De 45 a 54 años;Mujeres;2024;29.052,02
Total Nacional;De 45 a 54 años;Mujeres;2023;27.672,88
Total Nacional;De 45 a 54 años;Mujeres;2022;26.240,75
Total Nacional;De 45 a 54 años;Mujeres;2021;24.952,13
Total Nacional;De 45 a 54 años;Mujeres;2020;24.280,10
Total Nacional;De 45 a 54 años;Mujeres;2019;23.533,17
Total Nacional;De 45 a 54 años;Mujeres;2018;22.829,59
Total Nacional;De 45 a 54 años;Mujeres;2017;22.255,39
Total Nacional;De 45 a 54 años;Mujeres;2016;21.828,42
Total Nacional;De 45 a 54 años;Mujeres;2015;21.771,55
Total Nacional;De 45 a 54 años;Mujeres;2014;21.410,42
Total Nacional;De 45 a 54 años;Mujeres;2013;21.213,96
Total Nacional;De 45 a 54 años;Mujeres;2012;21.237,43
Total Nacional;De 45 a 54 años;Mujeres;2011;21.829,47
Total Nacional;De 45 a 54 años;Mujeres;2010;21.675,05
Total Nacional;De 45 a 54 años;Mujeres;2009;21.551,90
Total Nacional;De 45 a 54 años;Mujeres;2008;21.340,87
Total Nacional;De 45 a 54 años;Hombres;2024;35.244,65
Total Nacional;De 45 a 54 años;Hombres;2023;33.617,60
Total Nacional;De 45 a 54 años;Hombres;2022;32.253,72
Total Nacional;De 45 a 54 años;Hombres;2021;31.273,39
Total Nacional;De 45 a 54 años;Hombres;2020;30.434,65
Total Nacional;De 45 a 54 años;Hombres;2019;30.029,17
Total Nacional;De 45 a 54 años;Hombres;2018;29.618,95
Total Nacional;De 45 a 54 años;Hombres;2017;29.293,68
Total Nacional;De 45 a 54 años;Hombres;2016;28.824,47
Total Nacional;De 45 a 54 años;Hombres;2015;28.959,09
Total Nacional;De 45 a 54 años;Hombres;2014;29.029,78
Total Nacional;De 45 a 54 años;Hombres;2013;28.930,53
Total Nacional;De 45 a 54 años;Hombres;2012;28.863,01
Total Nacional;De 45 a 54 años;Hombres;2011;29.217,80
Total Nacional;De 45 a 54 años;Hombres;2010;29.352,84
Total Nacional;De 45 a 54 años;Hombres;2009;28.565,98
Total Nacional;De 45 a 54 años;Hombres;2008;27.707,01
Total Nacional;55 y más años;Ambos sexos;2024;32.036,58
Total Nacional;55 y más años;Ambos sexos;2023;31.114,19
Total Nacional;55 y más años;Ambos sexos;2022;30.003,94
Total Nacional;55 y más años;Ambos sexos;2021;28.687,17
Total Nacional;55 y más años;Ambos sexos;2020;28.124,29
Total Nacional;55 y más años;Ambos sexos;2019;27.539,73
Total Nacional;55 y más años;Ambos sexos;2018;27.150,93
Total Nacional;55 y más años;Ambos sexos;2017;26.646,32
Total Nacional;55 y más años;Ambos sexos;2016;26.202,60
Total Nacional;55 y más años;Ambos sexos;2015;26.327
Total Nacional;55 y más años;Ambos sexos;2014;26.137,13
Total Nacional;55 y más años;Ambos sexos;2013;25.631,60
Total Nacional;55 y más años;Ambos sexos;2012;25.372,97
Total Nacional;55 y más años;Ambos sexos;2011;26.124,09
Total Nacional;55 y más años;Ambos sexos;2010;26.162,43
Total Nacional;55 y más años;Ambos sexos;2009;25.281,30
Total Nacional;55 y más años;Ambos sexos;2008;25.235,33
Total Nacional;55 y más años;Mujeres;2024;28.825,48
Total Nacional;55 y más años;Mujeres;2023;27.936,57
Total Nacional;55 y más años;Mujeres;2022;26.960,76
Total Nacional;55 y más años;Mujeres;2021;25.416,49
Total Nacional;55 y más años;Mujeres;2020;24.911,13
Total Nacional;55 y más años;Mujeres;2019;24.282,38
Total Nacional;55 y más años;Mujeres;2018;23.232,38
Total Nacional;55 y más años;Mujeres;2017;22.662,69
Total Nacional;55 y más años;Mujeres;2016;22.027,07
Total Nacional;55 y más años;Mujeres;2015;22.024,79
Total Nacional;55 y más años;Mujeres;2014;21.621,14
Total Nacional;55 y más años;Mujeres;2013;21.754,61
Total Nacional;55 y más años;Mujeres;2012;21.450,90
Total Nacional;55 y más años;Mujeres;2011;22.089,51
Total Nacional;55 y más años;Mujeres;2010;21.912,33
Total Nacional;55 y más años;Mujeres;2009;21.543,96
Total Nacional;55 y más años;Mujeres;2008;21.361,36
Total Nacional;55 y más años;Hombres;2024;35.170,69
Total Nacional;55 y más años;Hombres;2023;34.179,41
Total Nacional;55 y más años;Hombres;2022;32.923,29
Total Nacional;55 y más años;Hombres;2021;31.767,80
Total Nacional;55 y más años;Hombres;2020;31.156,11
Total Nacional;55 y más años;Hombres;2019;30.587,07
Total Nacional;55 y más años;Hombres;2018;30.620,49
Total Nacional;55 y más años;Hombres;2017;30.111,81
Total Nacional;55 y más años;Hombres;2016;29.941,58
Total Nacional;55 y más años;Hombres;2015;30.145,96
Total Nacional;55 y más años;Hombres;2014;29.720,71
Total Nacional;55 y más años;Hombres;2013;28.852,18
Total Nacional;55 y más años;Hombres;2012;28.436,40
Total Nacional;55 y más años;Hombres;2011;28.958,90
Total Nacional;55 y más años;Hombres;2010;29.018,26
Total Nacional;55 y más años;Hombres;2009;27.499,13
Total Nacional;55 y más años;Hombres;2008;27.213,38
Andalucía;Todas las edades;Ambos sexos;2024;26.089,70
Andalucía;Todas las edades;Ambos sexos;2023;25.051,51
Andalucía;Todas las edades;Ambos sexos;2022;24.094,32
Andalucía;Todas las edades;Ambos sexos;2021;23.154,99
Andalucía;Todas las edades;Ambos sexos;2020;22.323,85
Andalucía;Todas las edades;Ambos sexos;2019;22.060,99
Andalucía;Todas las edades;Ambos sexos;2018;21.805,92
Andalucía;Todas las edades;Ambos sexos;2017;21.404,28
Andalucía;Todas las edades;Ambos sexos;2016;21.268,41
Andalucía;Todas las edades;Ambos sexos;2015;21.381,03
Andalucía;Todas las edades;Ambos sexos;2014;20.840,30
Andalucía;Todas las edades;Ambos sexos;2013;20.782,03
Andalucía;Todas las edades;Ambos sexos;2012;20.891,63
Andalucía;Todas las edades;Ambos sexos;2011;21.350,98
Andalucía;Todas las edades;Ambos sexos;2010;20.964,36
Andalucía;Todas las edades;Ambos sexos;2009;20.906,33
Andalucía;Todas las edades;Ambos sexos;2008;20.138,56
Andalucía;Todas las edades;Mujeres;2024;23.679,20
Andalucía;Todas las edades;Mujeres;2023;22.714,95
Andalucía;Todas las edades;Mujeres;2022;21.729,48
Andalucía;Todas las edades;Mujeres;2021;20.427,80
Andalucía;Todas las edades;Mujeres;2020;19.517,52
Andalucía;Todas las edades;Mujeres;2019;19.391,52
Andalucía;Todas las edades;Mujeres;2018;18.672,11
Andalucía;Todas las edades;Mujeres;2017;18.287,29
Andalucía;Todas las edades;Mujeres;2016;18.177,37
Andalucía;Todas las edades;Mujeres;2015;18.340,96
Andalucía;Todas las edades;Mujeres;2014;17.576,13
Andalucía;Todas las edades;Mujeres;2013;17.690,19
Andalucía;Todas las edades;Mujeres;2012;17.828,44
Andalucía;Todas las edades;Mujeres;2011;18.389,21
Andalucía;Todas las edades;Mujeres;2010;17.921,33
Andalucía;Todas las edades;Mujeres;2009;18.371,23
Andalucía;Todas las edades;Mujeres;2008;17.298,33
Andalucía;Todas las edades;Hombres;2024;28.295,53
Andalucía;Todas las edades;Hombres;2023;27.085,50
Andalucía;Todas las edades;Hombres;2022;26.189,50
Andalucía;Todas las edades;Hombres;2021;25.464,78
Andalucía;Todas las edades;Hombres;2020;24.785,82
Andalucía;Todas las edades;Hombres;2019;24.527,67
Andalucía;Todas las edades;Hombres;2018;24.712,69
Andalucía;Todas las edades;Hombres;2017;24.175,52
Andalucía;Todas las edades;Hombres;2016;24.026,82
Andalucía;Todas las edades;Hombres;2015;24.200,20
Andalucía;Todas las edades;Hombres;2014;23.541,32
Andalucía;Todas las edades;Hombres;2013;23.565,36
Andalucía;Todas las edades;Hombres;2012;23.592,08
Andalucía;Todas las edades;Hombres;2011;23.815,22
Andalucía;Todas las edades;Hombres;2010;23.463,96
Andalucía;Todas las edades;Hombres;2009;22.908,86
Andalucía;Todas las edades;Hombres;2008;22.108,57
Andalucía;Menos de 25 años;Ambos sexos;2024;13.781,62
Andalucía;Menos de 25 años;Ambos sexos;2023;13.789,68
Andalucía;Menos de 25 años;Ambos sexos;2022;14.283,80
Andalucía;Menos de 25 años;Ambos sexos;2021;12.589,64
Andalucía;Menos de 25 años;Ambos sexos;2020;-11.313,88
Andalucía;Menos de 25 años;Ambos sexos;2019;11.639,20
Andalucía;Menos de 25 años;Ambos sexos;2018;11.235,70
Andalucía;Menos de 25 años;Ambos sexos;2017;-11.077,23
Andalucía;Menos de 25 años;Ambos sexos;2016;-10.237,29
Andalucía;Menos de 25 años;Ambos sexos;2015;-10.114,22
Andalucía;Menos de 25 años;Ambos sexos;2014;-10.002,97
Andalucía;Menos de 25 años;Ambos sexos;2013;-9.672,48
Andalucía;Menos de 25 años;Ambos sexos;2012;10.543,85
Andalucía;Menos de 25 años;Ambos sexos;2011;11.059,79
Andalucía;Menos de 25 años;Ambos sexos;2010;11.617,72
Andalucía;Menos de 25 años;Ambos sexos;2009;11.955,24
Andalucía;Menos de 25 años;Ambos sexos;2008;12.599,88
Andalucía;Menos de 25 años;Mujeres;2024;-12.626,20
Andalucía;Menos de 25 años;Mujeres;2023;-12.785,10
Andalucía;Menos de 25 años;Mujeres;2022;-12.055,16
Andalucía;Menos de 25 años;Mujeres;2021;-11.646,17
Andalucía;Menos de 25 años;Mujeres;2020;-10.674,17
Andalucía;Menos de 25 años;Mujeres;2019;-10.615,13
Andalucía;Menos de 25 años;Mujeres;2018;-9.211,37
Andalucía;Menos de 25 años;Mujeres;2017;-9.206,05
Andalucía;Menos de 25 años;Mujeres;2016;-7.817,19
Andalucía;Menos de 25 años;Mujeres;2015;-7.772,47
Andalucía;Menos de 25 años;Mujeres;2014;-8.716,88
Andalucía;Menos de 25 años;Mujeres;2013;-8.368,81
Andalucía;Menos de 25 años;Mujeres;2012;-10.164,88
Andalucía;Menos de 25 años;Mujeres;2011;-9.703,81
Andalucía;Menos de 25 años;Mujeres;2010;-9.803,97
Andalucía;Menos de 25 años;Mujeres;2009;-10.693,23
Andalucía;Menos de 25 años;Mujeres;2008;10.588,97
Andalucía;Menos de 25 años;Hombres;2024;-14.699,60
Andalucía;Menos de 25 años;Hombres;2023;14.491,23
Andalucía;Menos de 25 años;Hombres;2022;-16.443,75
Andalucía;Menos de 25 años;Hombres;2021;-13.389,36
Andalucía;Menos de 25 años;Hombres;2020;-11.920,68
Andalucía;Menos de 25 años;Hombres;2019;-12.772,33
Andalucía;Menos de 25 años;Hombres;2018;-12.854,44
Andalucía;Menos de 25 años;Hombres;2017;-12.446,94
Andalucía;Menos de 25 años;Hombres;2016;-11.765,44
Andalucía;Menos de 25 años;Hombres;2015;-12.792,52
Andalucía;Menos de 25 años;Hombres;2014;-11.518,02
Andalucía;Menos de 25 años;Hombres;2013;-11.088,59
Andalucía;Menos de 25 años;Hombres;2012;-10.936,94
Andalucía;Menos de 25 años;Hombres;2011;-12.554,48
Andalucía;Menos de 25 años;Hombres;2010;-13.545,47
Andalucía;Menos de 25 años;Hombres;2009;-13.087,72
Andalucía;Menos de 25 años;Hombres;2008;14.405
Andalucía;De 25 a 34 años;Ambos sexos;2024;20.579,95
Andalucía;De 25 a 34 años;Ambos sexos;2023;19.963,02
Andalucía;De 25 a 34 años;Ambos sexos;2022;19.414,02
Andalucía;De 25 a 34 años;Ambos sexos;2021;17.630,72
Andalucía;De 25 a 34 años;Ambos sexos;2020;16.643,35
Andalucía;De 25 a 34 años;Ambos sexos;2019;16.509,01
Andalucía;De 25 a 34 años;Ambos sexos;2018;16.293,48
Andalucía;De 25 a 34 años;Ambos sexos;2017;15.899,01
Andalucía;De 25 a 34 años;Ambos sexos;2016;15.768,58
Andalucía;De 25 a 34 años;Ambos sexos;2015;15.910,78
Andalucía;De 25 a 34 años;Ambos sexos;2014;15.996,71
Andalucía;De 25 a 34 años;Ambos sexos;2013;15.480,24
Andalucía;De 25 a 34 años;Ambos sexos;2012;16.476,61
Andalucía;De 25 a 34 años;Ambos sexos;2011;16.969,88
Andalucía;De 25 a 34 años;Ambos sexos;2010;17.299,79
Andalucía;De 25 a 34 años;Ambos sexos;2009;17.343,71
Andalucía;De 25 a 34 años;Ambos sexos;2008;17.461,83
Andalucía;De 25 a 34 años;Mujeres;2024;19.197,66
Andalucía;De 25 a 34 años;Mujeres;2023;18.752,52
Andalucía;De 25 a 34 años;Mujeres;2022;18.360,28
Andalucía;De 25 a 34 años;Mujeres;2021;15.807,27
Andalucía;De 25 a 34 años;Mujeres;2020;14.969,70
Andalucía;De 25 a 34 años;Mujeres;2019;15.058,34
Andalucía;De 25 a 34 años;Mujeres;2018;14.473,92
Andalucía;De 25 a 34 años;Mujeres;2017;13.955,95
Andalucía;De 25 a 34 años;Mujeres;2016;14.025,59
Andalucía;De 25 a 34 años;Mujeres;2015;14.246,82
Andalucía;De 25 a 34 años;Mujeres;2014;14.412,43
Andalucía;De 25 a 34 años;Mujeres;2013;13.859,65
Andalucía;De 25 a 34 años;Mujeres;2012;14.744,31
Andalucía;De 25 a 34 años;Mujeres;2011;15.194,94
Andalucía;De 25 a 34 años;Mujeres;2010;15.130,18
Andalucía;De 25 a 34 años;Mujeres;2009;15.425,52
Andalucía;De 25 a 34 años;Mujeres;2008;15.448,77
Andalucía;De 25 a 34 años;Hombres;2024;22.036,01
Andalucía;De 25 a 34 años;Hombres;2023;21.229,15
Andalucía;De 25 a 34 años;Hombres;2022;20.387,79
Andalucía;De 25 a 34 años;Hombres;2021;19.392,38
Andalucía;De 25 a 34 años;Hombres;2020;18.357,06
Andalucía;De 25 a 34 años;Hombres;2019;17.978,73
Andalucía;De 25 a 34 años;Hombres;2018;18.269,69
Andalucía;De 25 a 34 años;Hombres;2017;17.724,05
Andalucía;De 25 a 34 años;Hombres;2016;17.555,24
Andalucía;De 25 a 34 años;Hombres;2015;17.714,80
Andalucía;De 25 a 34 años;Hombres;2014;17.586,35
Andalucía;De 25 a 34 años;Hombres;2013;17.277,45
