row;col;r;c;value;status
"Alt Camp";Valor;1;1;1079,1;
"Alt Camp";"Variació (%)";1;2;10,25;
"Alt Empordà";Valor;2;1;1785,13;
"Alt Empordà";"Variació (%)";2;2;-2,84;
"Alt Penedès";Valor;3;1;1052,44;
"Alt Penedès";"Variació (%)";3;2;2,81;
"Alt Urgell";Valor;4;1;950,78;
"Alt Urgell";"Variació (%)";4;2;3,64;
"Alta Ribagorça";Valor;5;1;1092,83;
"Alta Ribagorça";"Variació (%)";5;2;18,71;
Anoia;Valor;6;1;950,71;
Anoia;"Variació (%)";6;2;4,34;
Aran;Valor;7;1;2017,72;
Aran;"Variació (%)";7;2;10,38;
Bages;Valor;8;1;1034,27;
Bages;"Variació (%)";8;2;5,64;
"Baix Camp";Valor;9;1;1312,75;
"Baix Camp";"Variació (%)";9;2;-3,03;
"Baix Ebre";Valor;10;1;1040,93;
"Baix Ebre";"Variació (%)";10;2;0,57;
"Baix Empordà";Valor;11;1;1800,38;
"Baix Empordà";"Variació (%)";11;2;-2,79;
"Baix Llobregat";Valor;12;1;1965,83;
"Baix Llobregat";"Variació (%)";12;2;7,42;
"Baix Penedès";Valor;13;1;1226,5;
"Baix Penedès";"Variació (%)";13;2;3,42;
Barcelonès;Valor;14;1;2756,05;
Barcelonès;"Variació (%)";14;2;5,78;
Berguedà;Valor;15;1;863,62;
Berguedà;"Variació (%)";15;2;-0,75;
Cerdanya;Valor;16;1;2394,68;
Cerdanya;"Variació (%)";16;2;16,26;
"Conca de Barberà";Valor;17;1;612,37;
"Conca de Barberà";"Variació (%)";17;2;-16,62;
Garraf;Valor;18;1;2221;
Garraf;"Variació (%)";18;2;-2,57;
Garrigues;Valor;19;1;517,52;
Garrigues;"Variació (%)";19;2;-3,36;
Garrotxa;Valor;20;1;1054,65;
Garrotxa;"Variació (%)";20;2;4,31;
Gironès;Valor;21;1;1368,03;
Gironès;"Variació (%)";21;2;8,2;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;1702;
Maresme;"Variació (%)";23;2;7,27;
Moianès;Valor;24;1;1117,74;
Moianès;"Variació (%)";24;2;-28,75;
Montsià;Valor;25;1;815,61;
Montsià;"Variació (%)";25;2;3,7;
Noguera;Valor;26;1;686,47;
Noguera;"Variació (%)";26;2;-3,78;
Osona;Valor;27;1;1171,29;
Osona;"Variació (%)";27;2;2,54;
"Pallars Jussà";Valor;28;1;754,79;
"Pallars Jussà";"Variació (%)";28;2;-7,3;
"Pallars Sobirà";Valor;29;1;1099,83;
"Pallars Sobirà";"Variació (%)";29;2;6,54;
"Pla de l'Estany";Valor;30;1;1136,15;
"Pla de l'Estany";"Variació (%)";30;2;5,44;
"Pla d'Urgell";Valor;31;1;640,93;
"Pla d'Urgell";"Variació (%)";31;2;-0,75;
Priorat;Valor;32;1;782,79;
Priorat;"Variació (%)";32;2;-17,5;
"Ribera d'Ebre";Valor;33;1;745,09;
"Ribera d'Ebre";"Variació (%)";33;2;21,88;
Ripollès;Valor;34;1;1635,89;
Ripollès;"Variació (%)";34;2;21,08;
Segarra;Valor;35;1;791,44;
Segarra;"Variació (%)";35;2;2,27;
Segrià;Valor;36;1;873,74;
Segrià;"Variació (%)";36;2;-7,3;
Selva;Valor;37;1;1621,43;
Selva;"Variació (%)";37;2;-4,57;
Solsonès;Valor;38;1;1164,06;
Solsonès;"Variació (%)";38;2;13,13;
Tarragonès;Valor;39;1;1356,81;
Tarragonès;"Variació (%)";39;2;-0,32;
"Terra Alta";Valor;40;1;810,09;
"Terra Alta";"Variació (%)";40;2;0,79;
Urgell;Valor;41;1;746,55;
Urgell;"Variació (%)";41;2;-3,17;
"Vallès Occidental";Valor;42;1;1563,57;
"Vallès Occidental";"Variació (%)";42;2;7,84;
"Vallès Oriental";Valor;43;1;1373,05;
"Vallès Oriental";"Variació (%)";43;2;5,01;
Catalunya;Valor;44;1;1838,65;
Catalunya;"Variació (%)";44;2;2,97;
Metropolità;Valor;45;1;2133,97;
Metropolità;"Variació (%)";45;2;4,28;
"Comarques Gironines";Valor;46;1;1662,88;
"Comarques Gironines";"Variació (%)";46;2;-2,48;
"Camp de Tarragona";Valor;47;1;1329,68;
"Camp de Tarragona";"Variació (%)";47;2;-1,12;
"Terres de l'Ebre";Valor;48;1;921,9;
"Terres de l'Ebre";"Variació (%)";48;2;4,26;
Ponent;Valor;49;1;791,64;
Ponent;"Variació (%)";49;2;-5,96;
"Comarques Centrals";Valor;50;1;1074,84;
"Comarques Centrals";"Variació (%)";50;2;2,47;
"Alt Pirineu i Aran";Valor;51;1;1732,41;
"Alt Pirineu i Aran";"Variació (%)";51;2;10,55;
Penedès;Valor;52;1;1475,52;
Penedès;"Variació (%)";52;2;-2,29;
Barcelona;Valor;53;1;2036,21;
Barcelona;"Variació (%)";53;2;3,72;
Girona;Valor;54;1;1690;
Girona;"Variació (%)";54;2;-1,64;
Lleida;Valor;55;1;1002,43;
Lleida;"Variació (%)";55;2;1,1;
Tarragona;Valor;56;1;1243,48;
Tarragona;"Variació (%)";56;2;0,11;
