territorio,precio_m2_2024,variacion_%_2024,tope_vivienda,tope_m2_2024,nivel_territorial,salario_H,salario_M,sal_neto_mensual_M,cuota_max_M,hipoteca_max_M,brecha_acceso_M,sal_neto_mensual_H,cuota_max_H,hipoteca_max_H,brecha_acceso_H,salario_pareja_HM,salario_pareja_MM,salario_pareja_HH,sal_neto_mensual_pareja_HM,cuota_max_pareja_HM,hipoteca_max_pareja_HM,brecha_acceso_pareja_HM,sal_neto_mensual_pareja_MM,cuota_max_pareja_MM,hipoteca_max_pareja_MM,brecha_acceso_pareja_MM,sal_neto_mensual_pareja_HH,cuota_max_pareja_HH,hipoteca_max_pareja_HH,brecha_acceso_pareja_HH,m2_financiables_H,brecha_m2_H,m2_financiables_M,brecha_m2_M,m2_financiables_pareja_HM,brecha_m2_pareja_HM,m2_financiables_pareja_MM,brecha_m2_pareja_MM,m2_financiables_pareja_HH,brecha_m2_pareja_HH
Barcelona,2882.05,4.43,250000,86.74,provincia,29625.35,26937.89,1750.96,612.84,125758.18,-74241.82,1925.65,673.98,138304.44,-61695.56,56563.24,53875.78,59250.7,3676.61,1286.81,264060.57,64060.57,3501.93,1225.68,251516.35,51516.35,3851.3,1347.96,276608.89,76608.89,48.0,-38.7,43.6,-43.1,91.6,4.9,87.3,0.6,96.0,9.3
Girona,2284.48,1.92,250000,109.43,provincia,29625.35,26937.89,1750.96,612.84,125758.18,-74241.82,1925.65,673.98,138304.44,-61695.56,56563.24,53875.78,59250.7,3676.61,1286.81,264060.57,64060.57,3501.93,1225.68,251516.35,51516.35,3851.3,1347.96,276608.89,76608.89,60.5,-48.9,55.0,-54.4,115.6,6.2,110.1,0.7,121.1,11.7
Lleida,1292.68,-2.39,250000,193.4,provincia,29625.35,26937.89,1750.96,612.84,125758.18,-74241.82,1925.65,673.98,138304.44,-61695.56,56563.24,53875.78,59250.7,3676.61,1286.81,264060.57,64060.57,3501.93,1225.68,251516.35,51516.35,3851.3,1347.96,276608.89,76608.89,107.0,-86.4,97.3,-96.1,204.3,10.9,194.6,1.2,214.0,20.6
Tarragona,1634.83,5.11,250000,152.92,provincia,29625.35,26937.89,1750.96,612.84,125758.18,-74241.82,1925.65,673.98,138304.44,-61695.56,56563.24,53875.78,59250.7,3676.61,1286.81,264060.57,64060.57,3501.93,1225.68,251516.35,51516.35,3851.3,1347.96,276608.89,76608.89,84.6,-68.3,76.9,-76.0,161.5,8.6,153.8,0.9,169.2,16.3
