row;col;r;c;value;status
"Alt Camp";Valor;1;1;1212,29;
"Alt Camp";"Variació (%)";1;2;9,57;
"Alt Empordà";Valor;2;1;2379,98;
"Alt Empordà";"Variació (%)";2;2;14,62;
"Alt Penedès";Valor;3;1;1506,96;
"Alt Penedès";"Variació (%)";3;2;7,38;
"Alt Urgell";Valor;4;1;1133,05;
"Alt Urgell";"Variació (%)";4;2;2,25;
"Alta Ribagorça";Valor;5;1;1313,04;
"Alta Ribagorça";"Variació (%)";5;2;0,06;
Anoia;Valor;6;1;1327,3;
Anoia;"Variació (%)";6;2;2,2;
Aran;Valor;7;1;3175,27;
Aran;"Variació (%)";7;2;17,27;
Bages;Valor;8;1;1305,12;
Bages;"Variació (%)";8;2;0,54;
"Baix Camp";Valor;9;1;1611,82;
"Baix Camp";"Variació (%)";9;2;8;
"Baix Ebre";Valor;10;1;1169,07;
"Baix Ebre";"Variació (%)";10;2;4;
"Baix Empordà";Valor;11;1;2505,27;
"Baix Empordà";"Variació (%)";11;2;9,81;
"Baix Llobregat";Valor;12;1;2715,87;
"Baix Llobregat";"Variació (%)";12;2;6,96;
"Baix Penedès";Valor;13;1;1662,7;
"Baix Penedès";"Variació (%)";13;2;8,59;
Barcelonès;Valor;14;1;3621,62;
Barcelonès;"Variació (%)";14;2;3,27;
Berguedà;Valor;15;1;1116,93;
Berguedà;"Variació (%)";15;2;0,64;
Cerdanya;Valor;16;1;3160,4;
Cerdanya;"Variació (%)";16;2;11,52;
"Conca de Barberà";Valor;17;1;938,29;
"Conca de Barberà";"Variació (%)";17;2;19,29;
Garraf;Valor;18;1;2843,06;
Garraf;"Variació (%)";18;2;5,28;
Garrigues;Valor;19;1;638,93;
Garrigues;"Variació (%)";19;2;2;
Garrotxa;Valor;20;1;1418,88;
Garrotxa;"Variació (%)";20;2;2,2;
Gironès;Valor;21;1;1852,18;
Gironès;"Variació (%)";21;2;4,27;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;2435,26;
Maresme;"Variació (%)";23;2;2,2;
Moianès;Valor;24;1;1491,14;
Moianès;"Variació (%)";24;2;16,68;
Montsià;Valor;25;1;939;
Montsià;"Variació (%)";25;2;12,16;
Noguera;Valor;26;1;912,46;
Noguera;"Variació (%)";26;2;48,46;
Osona;Valor;27;1;1565,55;
Osona;"Variació (%)";27;2;14,37;
"Pallars Jussà";Valor;28;1;802,48;
"Pallars Jussà";"Variació (%)";28;2;5,7;
"Pallars Sobirà";Valor;29;1;1522,39;
"Pallars Sobirà";"Variació (%)";29;2;10,59;
"Pla de l'Estany";Valor;30;1;1594,11;
"Pla de l'Estany";"Variació (%)";30;2;4,1;
"Pla d'Urgell";Valor;31;1;894,44;
"Pla d'Urgell";"Variació (%)";31;2;12,03;
Priorat;Valor;32;1;1122,37;
Priorat;"Variació (%)";32;2;33,53;
"Ribera d'Ebre";Valor;33;1;776,15;
"Ribera d'Ebre";"Variació (%)";33;2;8,02;
Ripollès;Valor;34;1;1591,51;
Ripollès;"Variació (%)";34;2;3,07;
Segarra;Valor;35;1;872,48;
Segarra;"Variació (%)";35;2;-5,09;
Segrià;Valor;36;1;1122,58;
Segrià;"Variació (%)";36;2;9,6;
Selva;Valor;37;1;1813,88;
Selva;"Variació (%)";37;2;3,91;
Solsonès;Valor;38;1;1168,59;
Solsonès;"Variació (%)";38;2;15,7;
Tarragonès;Valor;39;1;1729,52;
Tarragonès;"Variació (%)";39;2;5,7;
"Terra Alta";Valor;40;1;1288,82;
"Terra Alta";"Variació (%)";40;2;45,35;
Urgell;Valor;41;1;952,83;
Urgell;"Variació (%)";41;2;25,67;
"Vallès Occidental";Valor;42;1;2300,93;
"Vallès Occidental";"Variació (%)";42;2;2,18;
"Vallès Oriental";Valor;43;1;1950,19;
"Vallès Oriental";"Variació (%)";43;2;4,42;
Catalunya;Valor;44;1;2376,76;
Catalunya;"Variació (%)";44;2;6,76;
Metropolità;Valor;45;1;2896,72;
Metropolità;"Variació (%)";45;2;5,34;
"Comarques Gironines";Valor;46;1;2148,01;
"Comarques Gironines";"Variació (%)";46;2;8,48;
"Camp de Tarragona";Valor;47;1;1653,1;
"Camp de Tarragona";"Variació (%)";47;2;6,75;
"Terres de l'Ebre";Valor;48;1;1045,63;
"Terres de l'Ebre";"Variació (%)";48;2;8,28;
Ponent;Valor;49;1;1012,21;
Ponent;"Variació (%)";49;2;11,15;
"Comarques Centrals";Valor;50;1;1383,16;
"Comarques Centrals";"Variació (%)";50;2;7,55;
"Alt Pirineu i Aran";Valor;51;1;2305,23;
"Alt Pirineu i Aran";"Variació (%)";51;2;9,84;
Penedès;Valor;52;1;1965,34;
Penedès;"Variació (%)";52;2;3,92;
Barcelona;Valor;53;1;2712,11;
Barcelona;"Variació (%)";53;2;5,59;
Girona;Valor;54;1;2187,14;
Girona;"Variació (%)";54;2;8,47;
Lleida;Valor;55;1;1342,57;
Lleida;"Variació (%)";55;2;17,96;
Tarragona;Valor;56;1;1545,29;
Tarragona;"Variació (%)";56;2;7,02;
